OrderKey,OrderId,StoreId,CustomerId,CustomerIp,OrderStatusId,CreatedOnUtc,OrderSubTotalExclTax,OrderSubTotalInclTax,OrderTotal,OrderItemId,ProductId,Quantity,UnitPriceInclTax,UnitPriceExclTax,IsPickupInstore
1,1,1,4,127.0.0.1,20,2020-01-11 22:46:10.093,1855.0,1855.0,1855.0,1,17,1,1300.0,1300.0,False
2,1,1,4,127.0.0.1,20,2020-01-11 22:46:10.093,1855.0,1855.0,1855.0,2,16,1,530.0,530.0,False
3,1,1,4,127.0.0.1,20,2020-01-11 22:46:10.093,1855.0,1855.0,1855.0,3,43,1,25.0,25.0,False
4,2,1,5,127.0.0.1,10,2020-01-11 22:46:11.837,2460.0,2460.0,2460.0,4,42,1,2100.0,2100.0,False
5,2,1,5,127.0.0.1,10,2020-01-11 22:46:11.837,2460.0,2460.0,2460.0,5,41,1,360.0,360.0,False
6,3,1,6,127.0.0.1,10,2020-01-11 22:46:12.387,8.8,8.8,8.8,6,35,1,3.0,3.0,False
7,3,1,6,127.0.0.1,10,2020-01-11 22:46:12.387,8.8,8.8,8.8,7,34,1,2.8,2.8,False
8,3,1,6,127.0.0.1,10,2020-01-11 22:46:12.387,8.8,8.8,8.8,8,36,1,3.0,3.0,False
9,4,1,7,127.0.0.1,20,2020-01-11 22:46:13.157,102.0,102.0,102.0,9,39,1,24.0,24.0,True
10,4,1,7,127.0.0.1,20,2020-01-11 22:46:13.157,102.0,102.0,102.0,10,38,1,51.0,51.0,True
11,4,1,7,127.0.0.1,20,2020-01-11 22:46:13.157,102.0,102.0,102.0,11,37,1,27.0,27.0,True
12,5,1,8,127.0.0.1,30,2020-01-11 22:46:14.503,43.5,43.5,43.5,12,30,1,43.5,43.5,False
13,6,1,4,192.168.0.1,30,2020-02-29 18:44:38.500,1300.0,1300.0,1300.0,13,46,1,1300.0,1300.0,False
14,8,1,1,192.168.0.1,30,2020-03-01 21:15:35.850,580.1,580.11,680.11,15,46,1,0.11,0.1,False
15,8,1,1,192.168.0.1,30,2020-03-01 21:15:35.850,580.1,580.11,680.11,16,55,1,580.0,580.0,False
16,9,1,1,192.168.0.1,30,2020-03-01 21:23:04.343,10140.1,10140.11,10240.11,17,46,1,0.11,0.1,False
17,9,1,1,192.168.0.1,30,2020-03-01 21:23:04.343,10140.1,10140.11,10240.11,18,56,1,7500.0,7500.0,False
18,9,1,1,192.168.0.1,30,2020-03-01 21:23:04.343,10140.1,10140.11,10240.11,19,55,3,880.0,880.0,False
19,10,1,1,192.168.0.1,30,2020-03-01 21:28:49.767,710.1,710.11,810.11,20,46,1,0.11,0.1,False
20,10,1,1,192.168.0.1,30,2020-03-01 21:28:49.767,710.1,710.11,810.11,21,55,1,710.0,710.0,False
21,11,1,1,192.168.0.1,30,2020-04-10 05:07:54.580,87.85,92.08,26.08,22,532,1,2.49,2.49,False
22,11,1,1,192.168.0.1,30,2020-04-10 05:07:54.580,87.85,92.08,26.08,23,60,1,4.36,4.36,False
23,11,1,1,192.168.0.1,30,2020-04-10 05:07:54.580,87.85,92.08,26.08,24,70,1,2.86,2.86,False
24,11,1,1,192.168.0.1,30,2020-04-10 05:07:54.580,87.85,92.08,26.08,25,537,2,3.51,3.11,False
25,11,1,1,192.168.0.1,30,2020-04-10 05:07:54.580,87.85,92.08,26.08,26,2033,2,2.02,1.79,False
26,11,1,1,192.168.0.1,30,2020-04-10 05:07:54.580,87.85,92.08,26.08,27,1150,1,9.36,9.36,False
27,11,1,1,192.168.0.1,30,2020-04-10 05:07:54.580,87.85,92.08,26.08,28,462,1,9.99,9.99,False
28,11,1,1,192.168.0.1,30,2020-04-10 05:07:54.580,87.85,92.08,26.08,29,1673,1,16.24,16.24,False
29,11,1,1,192.168.0.1,30,2020-04-10 05:07:54.580,87.85,92.08,26.08,30,1051,1,9.99,9.99,False
30,11,1,1,192.168.0.1,30,2020-04-10 05:07:54.580,87.85,92.08,26.08,31,1932,1,7.85,6.95,False
31,11,1,1,192.168.0.1,30,2020-04-10 05:07:54.580,87.85,92.08,26.08,32,472,1,3.51,3.11,False
32,11,1,1,192.168.0.1,30,2020-04-10 05:07:54.580,87.85,92.08,26.08,33,456,1,3.51,3.11,False
33,11,1,1,192.168.0.1,30,2020-04-10 05:07:54.580,87.85,92.08,26.08,34,1716,1,10.84,9.59,False
34,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,35,537,2,3.51,3.11,False
35,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,36,2033,1,2.02,1.79,False
36,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,37,1706,7,1.24,1.24,False
37,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,38,1716,2,10.84,9.59,False
38,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,39,2293,25,4.06,3.59,False
39,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,40,532,1,2.49,2.49,False
40,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,41,60,1,4.36,4.36,False
