SalesKey,OrderKey,ProductKey,CustomerKey,CustomerType,Quantity,TotalAmount,OrderDate,IsHighValueOrder,OrderYear,OrderMonth,OrderDay
1,2,14,1,Returning,1,1855.0,2020-01-11,True,2020,1,11
2,2,14,6,Returning,1,1855.0,2020-01-11,True,2020,1,11
3,2,14,7,Returning,1,1855.0,2020-01-11,True,2020,1,11
4,2,14,2884,Returning,1,1855.0,2020-01-11,True,2020,1,11
5,2,14,5773,Returning,1,1855.0,2020-01-11,True,2020,1,11
6,2,14,2889,Returning,1,1855.0,2020-01-11,True,2020,1,11
7,2,14,2890,Returning,1,1855.0,2020-01-11,True,2020,1,11
8,2,14,5767,Returning,1,1855.0,2020-01-11,True,2020,1,11
9,2,14,5772,Returning,1,1855.0,2020-01-11,True,2020,1,11
10,1,15,1,Returning,1,1855.0,2020-01-11,True,2020,1,11
11,1,15,6,Returning,1,1855.0,2020-01-11,True,2020,1,11
12,1,15,7,Returning,1,1855.0,2020-01-11,True,2020,1,11
13,1,15,2884,Returning,1,1855.0,2020-01-11,True,2020,1,11
14,1,15,5773,Returning,1,1855.0,2020-01-11,True,2020,1,11
15,1,15,2889,Returning,1,1855.0,2020-01-11,True,2020,1,11
16,1,15,2890,Returning,1,1855.0,2020-01-11,True,2020,1,11
17,1,15,5767,Returning,1,1855.0,2020-01-11,True,2020,1,11
18,1,15,5772,Returning,1,1855.0,2020-01-11,True,2020,1,11
19,12,28,5,New,1,43.5,2020-01-11,False,2020,1,11
20,12,28,2888,New,1,43.5,2020-01-11,False,2020,1,11
21,12,28,5771,New,1,43.5,2020-01-11,False,2020,1,11
22,7,32,3,New,1,8.8,2020-01-11,False,2020,1,11
23,7,32,2886,New,1,8.8,2020-01-11,False,2020,1,11
24,7,32,5769,New,1,8.8,2020-01-11,False,2020,1,11
25,6,33,3,New,1,8.8,2020-01-11,False,2020,1,11
26,6,33,2886,New,1,8.8,2020-01-11,False,2020,1,11
27,6,33,5769,New,1,8.8,2020-01-11,False,2020,1,11
28,8,34,3,New,1,8.8,2020-01-11,False,2020,1,11
29,8,34,2886,New,1,8.8,2020-01-11,False,2020,1,11
30,8,34,5769,New,1,8.8,2020-01-11,False,2020,1,11
31,11,35,4,New,1,102.0,2020-01-11,False,2020,1,11
32,11,35,2887,New,1,102.0,2020-01-11,False,2020,1,11
33,11,35,5770,New,1,102.0,2020-01-11,False,2020,1,11
34,10,36,4,New,1,102.0,2020-01-11,False,2020,1,11
35,10,36,2887,New,1,102.0,2020-01-11,False,2020,1,11
36,10,36,5770,New,1,102.0,2020-01-11,False,2020,1,11
37,9,37,4,New,1,102.0,2020-01-11,False,2020,1,11
38,9,37,2887,New,1,102.0,2020-01-11,False,2020,1,11
39,9,37,5770,New,1,102.0,2020-01-11,False,2020,1,11
40,5,39,2,New,1,2460.0,2020-01-11,True,2020,1,11
41,5,39,2885,New,1,2460.0,2020-01-11,True,2020,1,11
42,5,39,5768,New,1,2460.0,2020-01-11,True,2020,1,11
43,4,40,2,New,1,2460.0,2020-01-11,True,2020,1,11
44,4,40,2885,New,1,2460.0,2020-01-11,True,2020,1,11
45,4,40,5768,New,1,2460.0,2020-01-11,True,2020,1,11
46,3,41,1,Returning,1,1855.0,2020-01-11,True,2020,1,11
47,3,41,6,Returning,1,1855.0,2020-01-11,True,2020,1,11
48,3,41,7,Returning,1,1855.0,2020-01-11,True,2020,1,11
49,3,41,2884,Returning,1,1855.0,2020-01-11,True,2020,1,11
50,3,41,5773,Returning,1,1855.0,2020-01-11,True,2020,1,11
51,3,41,2889,Returning,1,1855.0,2020-01-11,True,2020,1,11
52,3,41,2890,Returning,1,1855.0,2020-01-11,True,2020,1,11
53,3,41,5767,Returning,1,1855.0,2020-01-11,True,2020,1,11
54,3,41,5772,Returning,1,1855.0,2020-01-11,True,2020,1,11
55,13,44,1,Returning,1,1300.0,2020-02-29,True,2020,2,29
56,13,44,6,Returning,1,1300.0,2020-02-29,True,2020,2,29
57,13,44,7,Returning,1,1300.0,2020-02-29,True,2020,2,29
58,13,44,2884,Returning,1,1300.0,2020-02-29,True,2020,2,29
59,13,44,5773,Returning,1,1300.0,2020-02-29,True,2020,2,29
60,13,44,2889,Returning,1,1300.0,2020-02-29,True,2020,2,29
61,13,44,2890,Returning,1,1300.0,2020-02-29,True,2020,2,29
62,13,44,5767,Returning,1,1300.0,2020-02-29,True,2020,2,29
63,13,44,5772,Returning,1,1300.0,2020-02-29,True,2020,2,29
64,14,44,24,Returning,1,680.11,2020-03-01,True,2020,3,1
65,14,44,26,Returning,1,680.11,2020-03-01,True,2020,3,1
66,14,44,27,Returning,1,680.11,2020-03-01,True,2020,3,1
67,14,44,69,Returning,1,680.11,2020-03-01,True,2020,3,1
68,14,44,71,Returning,1,680.11,2020-03-01,True,2020,3,1
69,14,44,72,Returning,1,680.11,2020-03-01,True,2020,3,1
70,14,44,5793,Returning,1,680.11,2020-03-01,True,2020,3,1
71,14,44,5835,Returning,1,680.11,2020-03-01,True,2020,3,1
72,14,44,5837,Returning,1,680.11,2020-03-01,True,2020,3,1
73,14,44,5838,Returning,1,680.11,2020-03-01,True,2020,3,1
74,14,44,2954,Returning,1,680.11,2020-03-01,True,2020,3,1
75,14,44,2955,Returning,1,680.11,2020-03-01,True,2020,3,1
76,14,44,5790,Returning,1,680.11,2020-03-01,True,2020,3,1
77,14,44,5792,Returning,1,680.11,2020-03-01,True,2020,3,1
78,14,44,2907,Returning,1,680.11,2020-03-01,True,2020,3,1
79,14,44,2909,Returning,1,680.11,2020-03-01,True,2020,3,1
80,14,44,2910,Returning,1,680.11,2020-03-01,True,2020,3,1
81,14,44,2952,Returning,1,680.11,2020-03-01,True,2020,3,1
82,16,44,24,Returning,1,10240.11,2020-03-01,True,2020,3,1
83,16,44,26,Returning,1,10240.11,2020-03-01,True,2020,3,1
84,16,44,27,Returning,1,10240.11,2020-03-01,True,2020,3,1
85,16,44,69,Returning,1,10240.11,2020-03-01,True,2020,3,1
86,16,44,71,Returning,1,10240.11,2020-03-01,True,2020,3,1
87,16,44,72,Returning,1,10240.11,2020-03-01,True,2020,3,1
88,16,44,5793,Returning,1,10240.11,2020-03-01,True,2020,3,1
89,16,44,5835,Returning,1,10240.11,2020-03-01,True,2020,3,1
90,16,44,5837,Returning,1,10240.11,2020-03-01,True,2020,3,1
91,16,44,5838,Returning,1,10240.11,2020-03-01,True,2020,3,1
92,16,44,2954,Returning,1,10240.11,2020-03-01,True,2020,3,1
93,16,44,2955,Returning,1,10240.11,2020-03-01,True,2020,3,1
94,16,44,5790,Returning,1,10240.11,2020-03-01,True,2020,3,1
95,16,44,5792,Returning,1,10240.11,2020-03-01,True,2020,3,1
96,16,44,2907,Returning,1,10240.11,2020-03-01,True,2020,3,1
97,16,44,2909,Returning,1,10240.11,2020-03-01,True,2020,3,1
98,16,44,2910,Returning,1,10240.11,2020-03-01,True,2020,3,1
99,16,44,2952,Returning,1,10240.11,2020-03-01,True,2020,3,1
100,19,44,24,Returning,1,810.11,2020-03-01,True,2020,3,1
101,19,44,26,Returning,1,810.11,2020-03-01,True,2020,3,1
102,19,44,27,Returning,1,810.11,2020-03-01,True,2020,3,1
103,19,44,69,Returning,1,810.11,2020-03-01,True,2020,3,1
104,19,44,71,Returning,1,810.11,2020-03-01,True,2020,3,1
105,19,44,72,Returning,1,810.11,2020-03-01,True,2020,3,1
106,19,44,5793,Returning,1,810.11,2020-03-01,True,2020,3,1
107,19,44,5835,Returning,1,810.11,2020-03-01,True,2020,3,1
108,19,44,5837,Returning,1,810.11,2020-03-01,True,2020,3,1
109,19,44,5838,Returning,1,810.11,2020-03-01,True,2020,3,1
110,19,44,2954,Returning,1,810.11,2020-03-01,True,2020,3,1
111,19,44,2955,Returning,1,810.11,2020-03-01,True,2020,3,1
112,19,44,5790,Returning,1,810.11,2020-03-01,True,2020,3,1
113,19,44,5792,Returning,1,810.11,2020-03-01,True,2020,3,1
114,19,44,2907,Returning,1,810.11,2020-03-01,True,2020,3,1
115,19,44,2909,Returning,1,810.11,2020-03-01,True,2020,3,1
116,19,44,2910,Returning,1,810.11,2020-03-01,True,2020,3,1
117,19,44,2952,Returning,1,810.11,2020-03-01,True,2020,3,1
118,15,52,24,Returning,1,680.11,2020-03-01,True,2020,3,1
119,15,52,26,Returning,1,680.11,2020-03-01,True,2020,3,1
120,15,52,27,Returning,1,680.11,2020-03-01,True,2020,3,1
121,15,52,69,Returning,1,680.11,2020-03-01,True,2020,3,1
122,15,52,71,Returning,1,680.11,2020-03-01,True,2020,3,1
123,15,52,72,Returning,1,680.11,2020-03-01,True,2020,3,1
124,15,52,5793,Returning,1,680.11,2020-03-01,True,2020,3,1
125,15,52,5835,Returning,1,680.11,2020-03-01,True,2020,3,1
126,15,52,5837,Returning,1,680.11,2020-03-01,True,2020,3,1
127,15,52,5838,Returning,1,680.11,2020-03-01,True,2020,3,1
128,15,52,2954,Returning,1,680.11,2020-03-01,True,2020,3,1
129,15,52,2955,Returning,1,680.11,2020-03-01,True,2020,3,1
130,15,52,5790,Returning,1,680.11,2020-03-01,True,2020,3,1
131,15,52,5792,Returning,1,680.11,2020-03-01,True,2020,3,1
132,15,52,2907,Returning,1,680.11,2020-03-01,True,2020,3,1
133,15,52,2909,Returning,1,680.11,2020-03-01,True,2020,3,1
134,15,52,2910,Returning,1,680.11,2020-03-01,True,2020,3,1
